family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people,difficulty,esperance
63,31,73,54,63,22,67,14,89,87,52,5,37,56.844498404989764
64,3,12,47,29,94,31,81,38,61,19,3,45,56.50787982669142
65,47,87,20,17,2,53,57,6,82,75,5,31,46.696662381564536
66,1,66,82,39,25,81,47,53,21,51,8,40,60.772175403513785
67,1,94,45,21,10,73,35,54,41,62,5,28,28.91325048802552
68,89,85,78,58,18,48,27,67,35,45,7,27,56.535637766033425
69,5,22,94,75,64,25,73,68,18,55,4,35,37.70766081036042
70,32,1,11,5,7,100,10,3,23,15,3,22,39.22582488215969
71,11,46,71,39,27,49,23,22,29,32,4,17,37.9054420797029
72,66,38,26,35,52,6,96,68,9,45,3,32,41.62848164547921
73,10,52,18,22,23,1,67,33,7,14,3,24,41.26134361757844
74,82,28,66,61,47,87,56,6,5,73,4,35,44.47202780555159
75,53,52,16,1,26,56,58,42,5,72,4,20,35.235252106841884
76,46,79,98,24,61,47,66,40,26,17,4,46,58.03437604151787
77,20,31,12,72,79,61,81,38,22,94,4,34,42.98404989763367
78,52,53,66,67,47,25,10,54,29,35,5,33,45.34447459886683
79,1,37,82,61,35,4,45,42,46,22,7,35,57.91505975336856
80,18,47,10,1,52,74,61,19,39,97,2,38,33.76765224015617
81,17,1,4,54,39,87,14,89,25,67,4,43,56.80874160834166
82,32,8,11,1,47,35,94,81,96,99,4,34,38.42270151883064
83,88,59,14,53,52,68,12,26,32,46,2,45,43.31962100652287
84,9,13,73,39,43,6,26,11,81,1,6,41,110.11331714516972
85,54,10,28,39,16,21,5,45,70,47,3,29,40.97338475455888
86,29,1,45,53,14,88,8,92,19,25,3,31,47.06799028710184
87,25,68,73,38,43,89,54,36,18,45,2,36,40.19768604485074
88,57,75,83,34,12,73,1,94,89,74,4,44,61.234109412941
89,23,17,68,12,14,39,75,28,18,67,2,36,40.582678664952624
90,54,52,17,33,26,75,96,1,25,24,6,51,92.27462743417607
91,17,54,33,1,67,8,4,24,95,30,4,35,45.69442460600867
92,85,1,74,37,19,89,63,4,66,18,2,38,43.078798266914255
93,5,33,39,1,73,10,43,69,3,19,3,35,58.66114364614579
94,47,10,73,96,45,94,78,1,88,23,3,33,47.52597248012188
95,24,53,68,32,74,25,73,89,49,1,4,41,85.80859877160405
96,75,1,88,31,58,13,41,67,25,77,6,27,40.20673237156596
97,96,24,48,89,36,1,77,57,14,40,4,22,49.44388896824263
98,3,1,11,73,26,89,31,28,19,40,4,42,58.69523401418844
99,39,23,18,88,61,22,46,66,17,4,3,42,49.666714278912536
100,39,5,80,1,19,75,88,94,49,22,6,34,59.92686759034424
101,53,96,17,9,49,18,1,74,77,89,2,32,43.17573679950483
102,31,29,13,46,89,24,1,94,38,9,7,40,74.35256868066466
103,68,12,18,33,87,89,73,60,4,19,7,52,91.12398228824455
104,47,46,33,52,3,17,25,73,88,85,2,38,31.06575251154597
105,12,17,45,26,22,19,15,6,21,80,4,24,42.44193686616198
106,34,30,17,31,3,12,13,46,50,87,4,34,40.35937723182403
107,12,41,33,54,46,39,82,6,31,24,3,40,48.53482835785364
108,34,32,51,47,1,99,29,59,58,61,5,29,61.5966766652383
109,17,75,95,48,68,9,22,80,12,23,5,27,42.7200876065324
110,67,22,24,23,70,9,47,43,1,89,6,31,66.07656049135838
111,68,1,35,94,17,44,26,4,59,64,4,33,39.07717945055468
112,60,13,31,89,43,34,27,74,25,68,3,32,39.541827357996475
113,18,37,58,1,95,19,5,53,26,36,4,37,50.87444650764176
114,15,20,37,5,100,70,33,52,7,17,6,31,64.07789363424273
115,22,17,1,15,74,9,38,40,33,68,4,41,52.946340998904915
116,77,79,19,80,25,72,40,31,57,12,4,35,45.521973051468834
117,94,1,19,31,13,5,69,8,52,54,6,34,64.3268104556492
118,69,73,16,81,45,44,11,38,25,4,4,42,57.84411750702281
119,4,19,10,53,67,3,73,31,89,40,4,49,56.63867066609532
120,56,89,95,28,97,40,44,59,27,75,4,28,41.54158929676713
121,17,54,87,4,38,25,6,66,55,73,3,34,37.85697281340761
122,24,4,14,47,95,52,23,1,11,35,6,34,67.37066133409513
123,95,22,32,18,4,46,67,13,81,66,4,41,54.245393515212115
124,14,38,7,18,26,1,22,87,4,39,5,42,77.52273484740275
125,47,58,8,83,3,23,29,1,88,6,3,22,48.58486882826263
126,3,40,24,88,68,45,33,56,94,61,5,43,57.18730657525116
127,2,42,36,27,95,74,14,53,49,98,8,24,35.15573965623958
128,56,12,72,69,89,68,17,1,62,48,6,29,53.775746321953996
129,17,43,32,61,46,100,14,79,64,20,7,16,35.780221873065756
130,16,82,59,53,49,99,20,1,18,19,6,36,93.99009665285911
131,11,81,12,60,31,9,67,27,21,5,4,29,55.63605199257249
132,76,74,36,24,26,3,40,7,10,52,2,38,47.22049231062229
133,54,40,20,73,5,14,17,7,32,68,4,35,45.64671713564729
134,18,96,26,17,95,1,43,49,33,58,8,31,61.65404942151121
135,5,33,18,2,87,11,89,1,60,16,6,39,67.9512450602295
136,88,1,40,53,45,82,89,13,52,32,3,41,44.85906775222587
137,82,26,8,1,96,54,53,46,38,20,2,36,41.29867161834024
138,59,2,11,28,80,16,5,46,19,87,5,41,50.88820644669809
139,89,11,32,8,46,10,18,24,81,60,3,45,50.20320906537162
140,61,1,13,81,59,52,40,32,21,58,6,32,49.83821358853497
141,89,4,3,82,61,31,19,45,7,60,4,41,50.68133123839451
142,26,37,29,85,33,10,15,73,24,53,3,36,50.61334095129267
143,38,28,17,1,15,8,89,26,45,32,3,38,51.0705613483788
144,28,5,12,1,24,87,59,61,11,54,4,49,66.08255963433795
145,18,61,25,73,40,48,26,29,10,59,2,35,42.148550207113274
146,64,61,42,36,67,96,94,82,86,24,3,35,40.785887730324234
147,28,24,7,39,14,27,59,40,1,89,5,39,67.5555872970528
148,63,94,25,4,3,16,8,32,100,59,4,30,45.16021520735133
149,61,40,87,38,66,46,18,81,59,1,4,49,90.6379088701614
150,60,19,95,72,61,12,52,87,38,32,4,46,52.49469123458554
151,3,95,2,19,61,88,52,4,9,22,6,32,54.004285102128264
152,88,40,68,1,82,96,32,19,75,80,2,47,45.69518640194258
153,3,12,73,40,35,92,74,87,54,60,2,38,37.94876922344427
154,25,61,91,99,82,33,75,94,47,18,4,44,56.01942579631481
155,100,79,27,1,36,63,60,47,40,12,2,35,41.11088892063039
156,95,74,44,67,3,41,49,20,1,66,5,30,66.19768604485074
157,87,61,54,29,49,66,9,30,4,26,3,28,46.72156358615436
158,13,95,49,25,45,3,33,1,46,17,6,49,93.82050183307146
159,3,45,55,9,49,11,67,53,15,20,6,25,46.85397324191782
160,40,28,14,7,16,75,10,31,3,8,2,28,37.662905299242965
161,47,60,43,46,1,12,49,24,5,52,4,41,66.32938151692616
162,68,86,15,17,29,97,16,46,87,53,5,32,57.66319097271818
163,84,30,15,27,88,45,5,26,32,59,4,43,55.57625101176022
164,18,1,10,21,47,73,5,12,11,65,6,39,48.69399609579584
165,1,33,97,7,26,38,80,18,21,13,7,34,59.353616150073805
166,14,84,44,22,51,25,38,29,76,82,4,24,34.548683521401706
167,95,93,1,23,21,73,5,86,16,11,4,26,48.99404846926629
168,19,73,13,89,67,84,26,66,3,31,4,42,56.69685283054801
169,67,17,52,5,84,12,75,73,4,60,5,46,58.78945864876446
170,12,25,27,40,10,76,97,59,1,17,7,39,86.58748750178546
171,24,73,47,45,1,11,31,49,4,25,4,42,66.32233490453746
172,21,60,54,15,46,26,88,39,1,4,7,49,93.02913869447222
173,68,55,47,38,24,94,84,46,1,25,3,41,59.943341427415135
174,94,34,18,51,13,88,32,52,3,74,6,43,61.94686473360948
175,17,89,18,74,47,81,21,46,94,85,2,32,25.984859305813455
176,52,18,75,50,16,36,4,48,94,10,6,32,51.66519068704471
177,74,13,52,95,48,25,49,89,87,59,4,38,46.82740560872257
178,80,45,46,1,95,37,53,24,3,18,2,42,50.76931866876161
179,26,2,1,59,34,31,53,66,41,81,5,37,50.04523163357615
180,40,20,21,51,80,14,33,24,3,34,6,31,44.88577822215875
181,7,20,37,1,38,2,17,28,4,35,3,24,43.21277912679141
182,94,87,12,17,8,19,32,9,54,53,2,36,45.381707375136884
183,17,10,34,2,60,15,43,94,5,67,3,32,43.29238680188544
184,4,47,40,38,90,81,8,1,21,24,6,33,80.52354425558252
185,80,31,54,1,64,74,88,35,26,25,2,36,45.614340808455935
186,50,2,60,87,82,1,18,33,4,68,4,48,62.147502737704144
187,43,39,26,75,35,47,78,1,60,19,2,37,58.286530495643476
188,10,20,48,56,59,89,31,91,46,82,3,35,38.380374232252535
189,1,51,3,31,18,10,12,100,21,4,3,36,44.33371423130029
190,9,41,87,21,82,67,11,1,81,26,4,45,74.7937913631386
191,54,33,5,83,1,75,94,14,88,25,3,38,54.937247059943815
192,77,33,20,96,59,13,97,31,67,95,3,35,41.21920677998381
193,12,35,75,56,14,25,80,20,81,41,4,25,39.23144312717231
194,95,1,65,42,52,47,90,34,61,54,2,29,37.04632671523115
195,55,9,87,47,56,1,49,17,26,25,3,37,56.88601628338809
196,26,100,60,7,54,61,73,23,33,88,6,40,49.880969385325905
197,59,44,19,45,24,18,92,1,72,37,2,23,33.761272199209635
198,81,90,59,31,82,1,75,54,48,4,7,43,79.5004047040899
199,51,31,71,22,42,8,87,43,1,45,2,26,45.803837547017096
200,26,46,74,47,83,1,13,61,45,87,2,37,40.857210874636955
201,47,35,46,88,21,43,5,94,33,49,7,33,49.154739799076324
202,23,6,49,92,88,33,82,47,77,29,5,27,39.20892253487597
203,38,52,3,18,81,89,24,26,25,40,4,49,62.20673237156598
204,67,88,45,49,56,17,34,18,23,92,5,20,29.56125315431129
205,1,26,18,47,19,39,99,5,32,12,2,45,42.224063229062516
206,28,18,1,8,68,9,74,26,39,12,2,39,45.296671904013714
207,47,5,95,94,73,27,19,17,41,32,5,37,51.55525401133171
208,1,10,95,5,75,12,34,38,50,64,4,30,29.498452602009237
209,9,71,22,24,47,3,39,4,17,84,6,39,49.29600533257154
210,23,80,72,94,81,29,56,1,19,67,4,36,62.718278341189354
211,67,45,1,9,59,95,32,24,60,5,4,46,65.14764557444175
212,10,3,35,96,52,1,6,53,47,17,3,40,58.72427748416892
213,52,18,1,26,77,17,80,6,94,23,3,28,37.07956006284816
214,31,18,26,3,35,5,32,38,96,39,3,44,51.308622577726986
215,1,17,94,40,52,99,11,3,87,95,2,46,40.18797314669333
216,43,47,81,93,5,54,29,68,19,56,7,34,47.876541446460024
217,5,38,39,47,80,12,48,4,87,46,5,44,54.77146121982574
218,38,23,54,1,10,2,52,60,21,82,3,34,44.282769128219776
219,68,31,81,19,54,97,38,87,60,24,6,46,70.7222777698424
220,1,24,88,11,95,27,18,54,96,17,2,46,46.9603389991906
221,17,4,10,31,94,95,1,38,46,24,5,50,80.97676522401561
222,36,19,12,25,47,55,1,60,81,76,3,34,42.19016331000333
223,60,5,17,41,19,82,28,45,54,1,6,42,110.104080369471
224,4,66,40,100,87,12,33,3,58,84,4,29,32.9603389991906
225,61,80,24,53,50,34,31,11,5,40,2,38,43.3536161500738
226,59,82,17,46,18,96,3,1,52,60,2,47,55.98971575489217
227,49,39,54,1,16,58,87,48,59,50,5,25,39.54792172546779
228,87,25,4,81,53,11,27,24,31,1,7,46,123.81512164928819
229,48,1,82,24,85,20,49,94,55,53,4,26,51.25677284197495
230,57,35,31,53,33,54,40,68,74,89,2,46,36.89177736513832
231,48,4,32,18,80,38,16,71,1,12,3,35,55.850259486739986
232,47,59,26,51,82,74,89,45,1,31,3,45,62.354996905204025
233,87,45,92,12,44,1,24,94,19,53,3,42,63.99176308146454
234,82,66,24,25,4,41,53,60,81,26,4,44,57.77631766890444
235,53,59,13,40,67,10,3,7,98,32,3,31,38.61243631862115
236,37,8,87,10,32,2,61,12,89,5,5,44,66.00414226539066
237,3,54,17,4,30,22,75,96,53,47,7,43,67.8395943436652
238,19,4,36,39,95,38,45,64,62,24,4,32,47.595676808075034
239,14,36,17,31,13,3,60,29,52,1,3,36,72.90087130409941
240,33,1,57,21,19,87,73,4,20,56,4,27,39.65585868685426
241,60,52,25,82,4,26,88,27,14,1,4,34,83.94991191734513
242,60,17,56,97,15,1,32,53,82,48,2,29,35.770032852449646
243,89,1,26,4,80,29,5,13,18,64,4,28,39.30400418987764
244,39,35,18,89,74,76,45,17,22,24,4,35,51.06965671570728
245,4,13,38,17,59,3,22,76,75,8,6,28,48.45736323382374
246,50,22,30,41,57,24,89,7,45,39,6,34,61.873256201495025
247,66,96,24,61,30,47,40,38,67,33,6,47,70.01514069418656
248,33,80,22,44,23,89,5,45,38,53,5,41,65.78226919963814
249,75,14,89,1,68,61,11,57,39,38,3,40,50.61153168594962
250,1,7,52,11,81,19,87,75,3,4,8,56,81.07175165452554
251,75,66,97,44,9,19,62,38,10,33,3,33,49.559586725705856
252,1,18,45,92,97,34,80,64,17,5,4,34,52.6180069513879
253,73,32,88,84,93,24,95,43,6,36,3,17,25.784983097652713
254,18,28,68,95,44,63,33,6,88,66,3,31,40.47550349950007
255,12,94,47,1,17,4,80,97,9,24,4,34,57.96952816264343
256,93,96,74,32,31,17,12,24,59,2,4,40,46.261867352283005
257,74,89,1,59,25,43,52,34,15,28,6,22,49.596152930533734
258,92,86,48,11,75,25,32,5,46,81,4,46,52.2436794743608
259,60,12,31,21,100,1,67,95,35,82,5,35,52.964100366614296
260,25,37,46,20,39,45,74,59,88,5,5,46,66.95305432557254
261,67,87,83,92,96,22,2,46,18,26,3,32,47.9716231014617
262,32,35,56,5,95,52,1,18,26,22,4,37,62.86768556872828
263,48,60,19,31,1,96,17,59,51,61,3,40,55.20787506546684
264,11,20,96,10,79,38,47,81,16,87,2,34,30.841403609008236
265,11,81,26,18,17,33,72,59,39,94,7,46,68.70585154501738
266,32,1,7,17,38,58,24,14,35,39,7,30,70.86663809931915
267,18,1,74,45,31,50,28,11,89,23,2,27,33.952102080655145
268,39,59,48,1,53,28,4,67,60,79,4,33,39.5853925629672
269,30,47,20,1,33,16,43,59,21,19,5,29,72.32776270056658
270,67,31,41,89,5,15,98,51,12,27,6,22,37.60729419606723
271,73,3,55,1,46,48,57,53,56,18,6,30,64.11512641051279
272,43,31,72,75,29,24,23,1,40,19,6,39,94.0448507356092
273,38,1,95,24,68,75,96,71,52,33,2,40,42.39327715088321
274,8,33,23,71,56,67,66,38,11,55,3,30,33.58777317526068
275,15,16,17,62,39,13,3,80,25,22,6,33,56.94138932533448
276,32,10,69,81,66,88,31,79,38,60,4,40,45.66890444222254
277,3,81,46,53,47,4,75,1,18,31,3,48,69.84854544588867
278,54,46,78,100,68,65,52,6,22,29,3,14,27.979383897538447
279,38,73,17,11,25,94,24,96,43,19,6,43,79.06432414416989
280,89,23,55,51,59,78,45,39,5,93,6,31,40.389277722230155
281,22,18,82,19,94,34,51,40,66,62,3,28,28.001142693900874
282,17,12,26,89,4,54,66,82,24,87,3,48,43.13236204351759
283,73,9,52,38,1,59,43,56,4,68,4,35,54.23453792315384
284,20,24,38,82,56,94,6,76,78,3,6,26,44.36490025234491
285,66,5,87,26,32,84,44,37,39,61,6,33,55.702994810265196
286,54,38,26,22,12,28,85,60,66,1,4,35,82.24320335190211
287,47,8,94,85,80,1,10,7,12,4,4,38,65.71604056563348
288,63,73,67,16,5,54,87,1,25,48,2,35,44.81750226158167
289,66,26,11,18,32,30,4,38,67,1,3,43,79.6576679521973
290,25,56,5,43,38,95,53,59,46,42,5,37,48.55330190925106
291,80,23,22,11,45,93,26,3,8,47,2,31,40.26796171975432
292,66,19,40,75,36,31,44,89,71,100,3,21,21.51725943912775
293,67,23,47,18,30,12,37,14,50,34,5,15,28.947055182592962
294,46,1,4,17,68,38,24,12,47,26,7,52,87.38880159977145
295,10,47,31,85,13,24,18,35,82,11,8,39,75.42703423320478
296,39,50,31,55,10,17,23,14,43,21,3,14,32.6175308289292
297,48,35,1,54,63,12,67,38,33,74,3,43,48.243250964147975
298,19,50,32,13,80,53,22,8,88,66,3,31,44.73513307622721
299,32,39,17,10,46,1,53,2,31,81,3,41,52.002047326572395
300,5,87,40,81,61,72,25,30,1,39,4,37,65.87144693615198
301,45,53,19,39,82,56,11,38,70,25,2,34,40.41327429414846
302,4,39,11,47,80,8,10,72,6,95,4,29,48.28119792410608
303,27,13,89,17,1,82,34,74,75,25,3,41,57.39213445698234
304,86,28,32,40,90,88,19,53,1,46,6,46,78.27957910774653
305,58,12,54,31,1,52,24,76,16,94,5,35,59.7312288720659
306,2,89,47,67,54,36,19,57,38,81,6,39,51.51026043898491
307,1,32,39,5,86,4,17,38,52,66,4,49,54.9261534066562
308,47,1,10,35,26,46,39,13,69,61,4,31,49.81583583297624
309,19,4,31,96,66,18,28,80,60,100,4,34,32.9647193258106
310,89,64,91,60,11,75,74,67,23,32,3,37,38.77979336285292
311,59,8,96,72,13,18,22,70,36,12,2,18,29.414369375803457
312,43,73,5,1,38,2,39,24,36,26,2,34,49.26981859734324
313,17,37,12,95,1,54,16,32,72,93,5,26,39.53982764366995
314,39,4,40,57,95,45,47,24,1,43,3,36,49.03708993953245
315,45,17,38,32,36,54,39,49,74,9,4,29,38.00761795933914
316,53,52,44,2,80,96,88,32,95,87,5,45,50.052135409227255
317,25,88,74,52,63,49,79,31,45,66,3,33,40.42370137599391
318,49,4,82,73,32,1,53,14,54,40,4,42,64.67104699328668
319,10,75,37,68,81,21,31,15,26,46,5,36,51.92210636575727
320,7,20,31,88,19,1,48,92,95,84,5,27,40.93629481502642
321,1,95,53,40,54,56,58,74,8,49,5,26,35.54206541922583
322,82,53,57,14,46,61,71,75,37,66,4,30,44.227872208732094
323,48,17,55,41,15,1,27,45,89,38,4,34,56.32414416988049
324,33,54,75,55,95,67,1,17,12,52,3,45,64.17945055468266
325,1,3,20,35,4,23,10,56,73,61,2,34,39.104032757225156
326,26,31,96,22,38,29,77,89,14,39,4,27,46.77312764843117
327,46,14,80,35,31,1,17,64,96,13,4,29,51.68004570775604
328,10,66,53,97,6,44,95,87,80,1,3,36,72.23620435175927
329,19,41,1,24,74,25,4,43,38,96,3,40,48.83897538446888
330,82,94,93,4,10,38,1,32,68,66,3,46,60.8728276912822
331,17,1,57,45,19,67,7,37,64,66,4,26,45.42493929438652
332,10,38,82,75,14,1,7,11,42,87,2,29,37.58186925677284
333,23,59,1,3,81,99,88,20,40,32,6,39,59.40094272246822
334,22,33,55,95,90,67,72,6,17,26,4,30,50.616769032995286
335,68,1,47,30,11,61,45,5,3,67,3,45,52.86768556872828
336,89,1,80,38,50,9,3,87,82,5,4,40,62.15902490120459
337,24,1,18,90,26,7,80,19,31,68,4,41,49.17592724848831
338,74,95,53,35,46,3,18,52,31,12,4,46,59.075941532162076
339,45,1,29,22,82,81,50,78,3,47,6,33,59.306384802171124
340,1,13,31,67,60,24,38,36,69,26,4,37,49.60691329810028
341,58,31,45,50,12,67,46,80,1,17,3,45,64.28534018949674
342,54,74,28,64,44,59,95,96,5,60,5,41,54.6393372375375
343,89,88,33,67,4,61,2,27,24,3,3,35,42.757463219540064
344,23,30,1,24,10,49,58,29,82,60,7,33,62.97814597914584
345,66,45,33,96,60,42,67,26,19,37,4,35,37.46274341760701
346,1,24,94,4,88,9,30,5,32,73,3,41,42.13264771699281
347,59,11,60,1,3,15,94,80,45,19,4,44,70.65647764605058
348,1,5,10,94,52,47,19,45,32,31,5,54,65.3804218444984
349,19,1,88,36,59,94,86,80,12,3,3,39,46.472932438223104
350,96,74,24,27,41,2,1,61,11,3,8,41,85.08822549159643
351,27,74,35,46,2,45,55,64,59,39,7,33,65.28000761795934
352,93,67,55,89,1,17,31,61,2,72,4,30,41.13640908441651
353,25,4,94,1,80,11,34,81,31,18,2,41,46.262819597200405
354,87,27,54,43,1,46,94,3,26,6,5,37,57.98314526496215
355,53,85,60,45,2,86,57,10,15,33,5,26,57.488454030376616
356,33,51,1,17,31,66,5,73,98,19,4,40,64.68761605484931
357,25,18,55,4,66,75,39,1,12,65,5,39,58.1078893491406
358,11,1,88,93,59,52,10,14,7,46,3,30,48.177403228110265
359,90,4,61,17,30,21,81,66,53,33,5,41,61.82212064943103
360,55,99,10,32,7,46,24,1,95,52,4,44,72.71675474932152
361,87,34,58,1,96,36,12,32,54,41,4,32,49.06080083797553
362,81,61,68,40,9,12,23,29,11,49,3,22,32.04451744988811
363,12,53,1,73,96,16,46,48,39,75,2,35,37.823453792315384
364,99,21,45,24,12,1,26,32,74,82,3,47,54.12683902299672
365,4,53,33,51,54,25,73,74,41,79,2,27,25.712136361472172
366,3,93,46,19,89,13,88,54,12,68,8,47,68.49069180593249
367,17,53,48,26,11,25,14,27,98,59,2,24,32.398990620387565
368,26,93,1,59,40,46,76,70,13,95,6,29,54.66209589106319
369,45,1,72,38,46,22,41,48,5,11,3,28,47.44798362138742
370,13,93,25,18,74,68,52,59,96,4,8,52,83.49169166309575
371,26,33,93,20,18,60,32,1,65,12,2,34,48.18311669761463
372,96,98,25,73,75,40,88,59,11,12,6,50,70.0145693472361
373,61,9,2,41,66,19,89,33,87,10,5,44,49.431509784316525
374,75,88,23,10,5,1,38,35,31,18,2,38,50.83692805789649
375,6,12,77,40,1,80,61,89,11,52,3,46,61.21301718802075
376,26,80,41,36,52,88,95,60,59,31,5,45,60.104985002142556
377,82,11,1,5,60,61,41,19,15,47,3,34,46.8129314859782
378,25,18,47,53,11,50,8,12,60,7,3,28,36.142789125363045
379,4,12,66,65,16,38,10,30,1,33,6,37,83.0088082654859
380,73,82,99,69,87,7,96,53,98,1,5,32,89.20892253487597
381,27,46,15,87,12,29,1,23,82,21,7,29,64.55587297052801
382,48,17,43,89,94,11,55,53,68,2,5,33,41.787601771175545
383,12,1,40,69,4,28,59,73,2,68,4,33,46.69513878969671
384,3,73,10,6,24,80,59,38,1,17,4,46,71.86268628291197
385,29,87,59,96,2,82,32,62,100,88,6,32,39.53549492929582
386,66,15,96,59,94,82,16,23,13,1,8,31,122.29805265914393
387,39,4,88,1,38,52,57,29,25,11,7,39,79.81312193496167
388,32,45,80,18,30,81,67,39,19,87,4,45,49.50873684711708
389,54,94,1,36,6,96,38,73,46,33,4,42,65.09670047136123
390,40,1,5,60,21,18,37,39,53,12,4,39,53.810027138980146
391,75,53,40,32,31,1,47,82,81,3,6,51,74.81169356758559
392,60,47,31,16,96,74,54,20,84,24,4,31,45.473408560681804
393,36,5,1,27,95,52,48,53,11,46,2,38,45.017759367709374
394,11,28,24,4,10,40,54,12,33,45,4,48,58.51240299004903
395,8,18,1,19,81,17,60,68,15,95,7,44,70.94338903966101
396,75,2,72,47,24,96,17,32,86,19,3,37,53.478026948531166
397,52,46,76,26,94,33,45,12,72,30,2,28,25.840213302861496
398,37,17,1,56,23,64,33,88,18,41,7,31,58.59381993048612
399,5,31,19,39,89,52,9,81,46,28,2,32,36.61943531876398
400,3,47,80,64,24,98,11,14,48,95,2,24,34.00761795933914
401,52,4,32,1,73,26,24,40,100,7,4,32,46.246917107079945
402,25,4,63,24,75,54,26,81,60,66,4,47,55.295814883588065
403,17,74,68,73,36,37,86,64,28,8,4,10,24.887682711993527
404,48,49,88,1,57,7,96,19,94,53,7,42,80.68318811598343
405,54,87,24,31,45,1,100,78,58,23,3,18,35.003380469456744
406,3,5,45,12,11,1,6,15,18,21,2,25,44.25405894396039
