,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
4132,28,8,29,17,15,25,19,9,25,13,4
2875,6,29,21,15,17,27,15,19,9,6,6
1725,11,4,7,5,13,3,25,17,3,11,5
4181,9,3,17,6,11,24,21,4,13,6,4
3338,13,25,21,1,7,8,19,11,15,28,4
2436,16,18,12,11,17,28,21,7,23,4,3
1053,11,29,26,10,23,1,12,9,5,13,4
2271,15,8,9,24,22,3,16,7,7,19,2
1550,5,23,8,5,1,21,14,27,13,16,5
1974,17,3,13,5,13,13,3,7,19,27,8
2265,4,23,23,17,5,1,5,11,27,11,6
610,1,16,25,15,10,6,29,19,30,8,2
4567,5,17,12,5,1,8,19,29,13,25,4
575,29,5,11,14,13,8,10,9,14,10,2
4971,5,4,19,1,2,9,7,16,15,7,4
203,13,17,3,7,25,27,9,9,9,13,4
2000,13,4,7,23,1,16,29,23,14,14,5
1078,17,19,7,10,11,16,14,12,28,12,6
4547,15,24,18,13,25,23,27,9,3,30,5
2413,23,6,25,27,8,5,23,23,9,29,5
987,27,14,18,8,23,5,13,11,20,11,4
1985,23,1,24,21,21,10,11,10,3,7,5
1512,16,18,15,23,17,29,1,15,3,23,5
971,3,6,3,7,10,13,15,6,8,14,6
1511,10,1,9,28,11,5,17,5,7,20,4
2754,9,22,23,8,16,9,6,27,7,13,7
2910,19,3,17,25,20,5,2,5,29,15,4
4065,23,15,1,14,7,27,29,9,3,12,6
3560,7,25,15,6,1,15,11,11,6,17,6
259,19,5,11,8,30,1,21,29,12,25,5
752,3,9,12,21,29,15,11,11,29,17,5
66,1,21,25,13,9,25,15,17,8,16,8
3348,7,16,4,29,23,3,12,1,15,18,4
4285,1,3,8,14,9,15,18,14,19,17,3
3799,3,15,5,9,8,8,10,20,16,17,2
3859,29,25,13,11,4,7,16,12,9,1,2
525,7,15,9,30,16,6,8,24,6,17,4
3984,15,16,20,9,1,28,29,27,3,14,3
2850,17,25,3,15,4,4,9,7,21,12,5
1873,7,11,8,15,29,13,23,10,1,28,6
74,25,10,21,19,15,27,18,4,3,23,4
526,19,21,23,7,5,11,4,3,12,14,4
3298,5,21,17,9,29,4,3,4,25,24,2
2873,23,5,3,28,7,25,8,14,11,15,3
464,15,1,14,29,7,21,12,3,30,9,5
139,27,5,11,4,15,5,7,9,25,19,3
171,9,23,15,15,1,5,11,16,3,9,4
2739,16,5,1,27,10,23,17,29,8,4,6
1521,8,25,6,11,26,23,7,23,14,21,7
3926,13,13,29,11,23,29,3,7,18,27,3
1334,18,12,13,7,9,5,23,21,16,29,5
3028,13,10,5,11,28,5,15,19,9,23,3
978,19,9,5,21,27,1,25,16,17,3,4
3253,23,19,17,13,21,30,1,2,11,27,3
3331,7,23,17,13,3,9,18,15,4,18,4
4506,21,16,23,17,1,24,28,3,21,9,5
3017,9,1,9,13,25,3,15,10,17,15,8
3280,27,21,12,26,28,23,29,30,27,27,6
935,9,4,27,6,21,1,27,29,10,12,3
2944,1,2,9,7,7,14,5,15,4,17,3
757,23,9,21,6,9,9,12,5,5,23,2
949,1,26,23,25,4,15,7,27,16,18,5
3138,3,8,24,5,10,12,6,1,4,7,6
407,21,5,7,6,4,21,29,4,4,2,2
4076,25,23,5,21,1,10,8,7,4,4,2
1092,11,5,19,1,27,9,15,20,23,13,5
3722,21,17,9,18,3,9,10,20,27,28,2
4491,12,16,27,1,24,30,15,21,13,4,2
2994,10,1,9,15,11,15,20,27,19,2,2
822,12,11,21,25,9,3,11,27,18,24,7
1655,21,26,27,20,28,27,29,15,11,16,6
4123,14,16,8,3,3,23,7,22,16,6,4
2992,4,9,21,15,13,5,11,4,20,18,3
2098,3,12,21,27,6,14,19,9,10,15,4
3656,23,17,11,6,17,9,1,9,8,4,4
1376,29,4,13,6,28,15,22,5,17,13,3
450,19,8,13,16,25,10,9,13,19,15,2
21,18,1,15,22,11,3,25,13,25,5,5
4265,10,18,16,21,21,23,5,14,3,28,4
4546,5,13,8,27,23,11,16,11,29,29,2
2848,19,4,6,15,11,5,18,10,17,8,4
3957,3,18,10,30,6,9,3,7,25,19,7
2503,12,8,5,4,14,18,6,8,21,1,4
1838,19,15,27,8,1,21,8,12,9,13,5
2538,20,23,14,1,14,23,11,17,11,7,4
4863,19,25,17,3,27,8,13,27,23,21,2
3839,7,10,16,13,6,3,4,12,7,23,5
3183,4,3,15,13,18,13,4,15,20,7,3
2204,18,13,1,5,11,26,29,13,7,4,6
1157,6,16,1,13,29,11,10,3,14,9,3
53,12,8,1,21,5,27,3,10,29,9,4
866,9,13,21,16,27,18,25,15,24,24,4
2231,14,17,6,16,22,24,10,3,11,9,4
2842,15,4,29,9,12,7,23,2,17,11,4
570,5,6,3,14,15,4,9,5,9,15,3
194,29,1,20,14,17,15,28,12,19,17,2
1578,9,3,9,18,11,30,21,12,29,13,3
427,9,14,5,1,27,5,3,17,6,9,3
4817,13,9,18,7,24,27,13,17,29,4,6
2349,9,13,1,11,25,9,21,5,3,17,2
1695,9,30,23,4,3,2,1,25,13,11,3
4712,11,2,21,14,19,10,25,7,27,1,4
668,5,19,13,17,12,11,4,21,7,16,4
1125,9,13,8,21,9,27,7,27,6,29,2
4337,10,15,27,13,29,9,5,3,19,17,8
2691,5,21,25,5,23,10,23,27,15,22,5
2475,8,3,5,1,4,29,6,13,15,21,5
1856,21,15,15,20,1,7,11,29,19,13,3
4609,4,25,17,11,15,16,12,21,4,8,3
4163,15,10,12,5,18,13,12,17,8,27,2
2757,21,11,7,13,23,6,9,1,19,11,5
930,2,8,29,15,1,11,21,24,15,13,4
4785,14,17,12,15,15,13,16,6,1,6,4
1757,23,29,17,27,30,4,9,1,5,27,4
3489,26,5,21,10,15,9,17,10,26,25,7
2007,1,29,4,9,14,14,5,17,16,30,5
4495,18,20,1,21,11,7,11,9,4,23,5
3564,13,11,19,6,23,29,29,5,17,11,5
2298,1,7,27,9,27,20,15,12,5,7,3
2846,5,19,3,15,11,13,22,9,1,9,4
4148,14,23,1,27,9,28,3,15,17,5,6
792,27,23,1,29,15,20,5,5,19,8,2
284,8,9,13,25,18,29,4,24,24,3,6
3203,21,30,15,26,25,7,1,11,19,10,4
4033,18,17,19,3,21,27,25,4,1,18,7
4109,16,1,8,3,15,16,3,21,9,9,4
2241,19,7,6,27,9,25,18,11,3,11,4
2726,5,8,24,9,16,25,23,21,13,6,7
2963,26,1,23,21,5,18,5,12,8,3,6
1538,6,8,4,8,12,10,25,1,5,29,3
127,2,14,12,10,29,23,6,17,16,30,8
3509,19,20,9,16,3,20,14,17,3,4,3
27,13,29,1,14,27,13,4,3,20,23,4
231,16,3,11,7,25,13,6,22,1,5,3
3869,4,11,1,15,11,8,5,23,7,25,4
4189,16,8,9,9,25,10,11,3,3,12,6
598,15,3,7,23,19,13,3,11,21,9,2
3834,3,15,4,29,4,21,25,7,27,13,4
2843,5,8,11,12,16,21,1,18,7,4,4
2481,3,29,7,13,19,1,10,23,8,7,4
3545,24,17,4,1,4,15,8,5,13,3,4
3267,9,25,20,24,10,17,15,1,7,11,4
37,6,25,25,27,27,23,4,12,16,15,2
3810,15,26,7,9,5,3,7,14,15,9,2
2157,10,23,18,13,23,8,29,3,27,12,2
1289,13,27,25,15,7,1,19,3,7,11,4
4750,6,21,8,15,19,7,11,16,25,10,3
4014,21,17,11,13,9,8,11,3,3,18,4
1217,14,23,9,13,13,18,1,10,21,29,4
1227,7,7,8,13,9,11,1,23,15,14,5
536,28,1,10,3,5,21,22,9,9,14,2
4488,6,9,1,21,3,23,13,15,11,5,3
3074,1,25,17,8,7,3,29,29,10,25,5
1701,17,23,21,29,10,14,3,3,25,3,6
1389,23,16,17,1,19,15,3,13,8,9,5
3001,20,28,11,29,18,1,15,19,4,27,3
2560,5,16,3,3,29,23,14,1,15,23,4
3158,13,21,11,3,6,17,14,9,18,14,2
1352,11,3,27,9,7,5,11,14,11,23,4
4451,15,23,7,9,27,19,13,5,15,8,2
2119,14,3,15,9,9,11,7,9,1,5,3
1705,21,5,27,4,13,25,3,7,10,9,5
1970,1,4,7,21,27,9,18,14,13,23,6
2621,27,4,14,24,15,4,23,15,19,18,5
1527,15,11,7,24,10,11,21,9,16,23,4
3137,13,5,25,13,29,27,7,27,9,17,7
1259,21,27,11,9,21,15,7,9,22,13,2
221,7,3,5,11,29,29,1,13,15,9,5
14,15,9,12,13,27,6,1,3,27,10,2
2693,10,17,11,23,9,25,12,7,9,29,3
2532,13,1,2,25,17,4,9,7,6,29,4
3448,16,21,29,4,15,17,30,1,14,28,4
157,27,19,17,10,16,21,4,10,3,9,3
3679,8,6,24,11,14,4,10,16,18,8,2
452,27,7,26,9,11,4,3,1,13,9,4
3248,1,24,2,15,8,11,3,28,10,4,4
2773,4,21,10,9,14,23,26,12,29,13,2
2200,1,5,28,5,3,8,7,9,16,7,3
897,1,21,17,6,26,10,9,23,29,20,4
3335,8,21,7,12,23,10,1,28,16,11,6
991,23,8,8,25,22,1,21,7,13,6,5
863,25,1,23,17,13,14,16,2,5,15,6
3852,12,3,27,8,10,6,13,26,17,13,5
2761,3,11,17,1,25,15,13,5,11,17,5
4070,16,1,21,15,9,27,29,15,10,15,3
125,15,18,4,26,3,8,10,1,27,4,3
1556,25,3,17,18,1,6,6,5,23,16,5
320,4,8,11,27,7,1,16,28,29,26,5
4484,16,6,17,1,21,16,5,23,27,17,4
1860,2,1,9,15,16,5,16,19,23,11,3
2962,10,29,8,1,4,22,6,5,15,3,5
4141,15,5,11,12,7,21,9,8,9,10,7
2485,10,13,8,18,1,25,21,3,29,9,4
3134,27,9,17,26,1,7,3,11,11,10,4
3407,4,18,8,17,11,8,18,18,12,19,6
1951,9,22,11,10,25,19,7,24,18,6,3
2746,21,1,11,12,2,23,9,5,19,3,3
1203,27,1,30,21,15,19,7,7,5,21,3
4992,5,23,11,28,8,9,24,11,1,17,3
116,24,24,7,25,9,22,13,11,18,5,4
2822,27,10,15,7,7,9,7,6,14,29,3
2613,29,4,6,23,17,10,6,9,12,10,6
103,21,5,7,11,27,27,23,19,3,7,7
266,11,1,4,7,13,18,9,6,12,13,7
3247,1,9,25,5,13,11,4,20,27,29,2
3989,27,10,5,11,9,9,13,1,11,3,8
2264,1,28,30,17,21,14,29,19,29,29,3
337,9,1,7,28,9,4,25,7,11,21,4
3037,29,9,23,25,8,1,11,11,27,10,2
1038,29,13,10,18,5,4,12,7,28,15,4
1740,5,21,1,30,5,8,7,15,21,26,2
4713,5,3,6,18,19,15,18,29,13,1,5
3954,8,9,21,18,25,19,7,25,6,1,3
1912,19,19,18,28,4,13,15,15,7,14,5
3483,23,17,9,7,7,25,3,8,21,8,5
1633,1,11,15,11,6,19,23,29,29,7,4
1338,26,19,25,21,5,23,15,29,25,3,3
3988,8,19,19,10,23,15,29,17,19,25,5
1622,15,13,18,3,23,10,8,13,24,8,4
3754,27,11,26,5,2,5,19,7,19,12,7
691,4,11,17,26,29,25,17,27,5,6,2
4139,15,25,29,5,5,9,25,1,20,4,8
1953,9,21,1,18,18,27,3,19,6,17,4
2717,4,29,25,21,18,16,29,27,27,12,5
262,11,12,18,3,29,17,1,7,9,8,4
3711,9,13,24,26,11,21,27,3,27,7,5
4102,4,17,5,3,4,14,25,15,5,28,3
1054,11,4,27,19,20,30,26,18,7,25,4
4112,2,12,19,29,3,26,29,3,7,19,4
1168,7,1,21,23,17,17,27,5,28,5,5
1668,4,29,15,13,19,8,3,29,8,23,2
3778,11,5,3,11,16,7,9,13,15,7,8
1424,13,16,12,5,13,30,17,14,11,27,2
1913,17,23,24,1,5,11,3,9,7,5,3
4537,21,4,29,7,1,17,25,13,28,11,2
1427,11,5,14,22,25,15,25,27,9,3,5
1481,25,4,29,26,9,17,29,20,28,1,4
4960,17,5,19,9,21,11,17,18,13,15,6
2476,23,17,4,27,5,1,9,25,21,5,4
1300,13,3,25,10,4,4,12,5,21,7,2
4764,10,27,9,13,6,17,26,5,21,29,2
4513,28,23,20,11,17,7,6,1,25,8,5
368,9,28,1,19,13,15,24,22,6,29,6
3188,5,1,17,15,3,9,21,3,25,12,2
11,7,23,13,14,2,21,17,27,4,29,7
3956,11,24,17,17,13,29,3,13,29,1,8
150,19,7,29,22,19,5,17,27,13,11,4
2784,23,17,15,15,18,3,17,21,4,6,5
1041,29,29,3,29,27,5,6,25,18,11,4
72,21,13,9,12,17,4,29,21,4,15,3
3156,23,1,28,17,15,17,6,4,5,11,5
98,3,1,5,23,9,27,11,10,7,13,4
4258,18,25,17,1,10,8,19,4,13,3,6
736,25,24,28,9,8,13,26,19,5,21,4
569,9,11,5,15,7,1,3,11,21,27,6
1763,9,15,17,23,13,11,3,17,28,7,3
1302,10,11,23,9,23,21,15,19,1,19,7
3510,9,6,8,17,1,15,11,25,13,19,4
2056,23,8,13,21,11,9,28,21,27,15,4
2731,27,5,15,9,1,8,29,13,7,11,4
64,3,5,15,10,29,11,25,13,19,7,3
4737,4,8,7,9,5,13,21,4,19,8,4
324,11,17,23,18,29,21,1,7,5,17,3
4677,6,8,14,21,10,11,9,8,1,9,4
434,7,20,16,2,29,8,12,17,27,30,6
3520,8,15,22,4,9,15,1,19,18,13,3
292,21,7,13,23,12,11,14,27,22,30,3
374,23,27,8,5,3,1,13,12,11,7,2
4880,19,7,1,27,21,23,8,15,18,9,2
70,11,1,5,3,4,30,5,3,8,6,3
3546,18,29,11,12,27,13,17,4,13,10,5
3221,6,19,11,7,7,25,28,4,9,15,4
2337,14,9,7,25,4,5,17,6,29,18,3
1466,20,9,14,11,29,19,4,9,25,6,4
170,5,9,10,13,5,24,30,19,1,7,7
1015,1,7,4,17,3,29,12,7,12,8,4
355,17,26,19,15,2,26,18,5,6,11,5
1174,13,15,5,29,25,5,9,9,14,1,4
4402,26,16,18,29,7,14,2,21,15,5,3
3539,28,23,17,7,6,11,19,8,10,1,4
764,3,15,5,1,9,11,16,13,3,23,6
2569,10,7,21,11,1,14,10,29,30,25,2
2587,12,8,23,15,9,9,29,1,5,17,3
397,17,15,24,9,29,11,15,5,22,10,2
4269,11,29,24,1,21,13,14,6,5,15,4
4819,13,9,25,15,6,19,29,8,21,25,7
3417,15,21,17,9,10,23,25,10,1,3,3
620,17,9,13,24,2,3,17,29,11,7,7
2949,9,15,25,3,14,4,5,15,29,8,7
1812,28,14,8,27,15,9,25,6,1,17,8
4178,7,7,13,18,25,23,7,28,1,29,4
4872,28,21,8,22,7,19,8,1,5,23,2
4371,17,7,3,9,16,1,16,6,25,3,3
566,15,5,13,9,25,7,3,9,15,21,2
432,15,9,10,27,13,21,13,13,4,18,4
3532,13,25,8,3,11,7,5,19,21,8,4
4273,3,8,28,19,25,7,17,10,29,25,3
548,27,27,8,5,26,4,10,21,14,11,6
830,12,5,19,17,16,3,9,15,23,17,4
4947,13,24,9,4,27,21,17,21,3,29,4
2026,11,28,19,23,7,8,5,5,15,12,5
1592,4,5,23,5,3,25,11,27,11,14,4
2460,1,15,5,27,3,3,15,27,9,7,4
1354,6,11,1,15,25,11,5,7,18,18,3
4644,15,1,8,6,29,5,9,17,23,19,4
4772,1,15,9,5,27,27,13,15,4,11,3
4545,15,6,21,13,1,5,29,19,5,15,3
4702,29,3,26,27,7,8,17,19,3,21,4
1612,1,15,17,13,10,9,7,15,16,29,4
435,1,11,25,9,12,13,11,6,10,3,2
990,16,10,9,11,22,8,3,19,14,21,5
4998,21,28,3,7,17,24,1,5,9,22,5
985,14,21,10,28,22,1,5,7,10,16,3
2032,8,17,9,19,16,23,9,3,4,7,4
994,13,9,3,7,23,13,14,20,7,5,3
2458,18,10,14,17,7,14,19,3,5,9,4
2599,5,21,3,10,9,14,9,7,1,19,2
3452,13,1,11,7,15,2,8,13,19,3,3
3197,17,16,9,27,1,7,25,5,23,11,5
4852,29,21,13,14,3,8,21,26,15,30,3
2196,5,17,29,13,21,17,7,15,1,13,3
3132,4,3,15,3,7,3,7,25,10,5,5
983,29,3,3,29,1,29,16,8,3,19,2
1202,17,12,25,7,3,5,20,23,9,7,3
3343,3,6,7,5,6,25,21,19,4,24,6
1870,29,12,10,19,9,7,17,11,27,23,4
1679,9,12,29,8,5,15,17,25,4,29,8
2043,12,5,29,9,13,13,8,4,18,3,4
2252,11,29,4,12,17,6,17,19,3,1,3
4684,12,29,7,19,27,3,11,8,3,25,5
1791,10,10,29,21,27,1,25,15,17,11,5
1889,23,19,23,24,21,8,29,26,13,11,4
1939,19,29,11,7,8,1,6,13,15,7,4
2484,7,8,5,6,12,8,3,29,17,18,5
2918,13,8,11,27,6,5,7,3,27,18,3
2975,17,1,17,23,16,8,27,21,23,22,5
1966,9,9,19,6,23,19,3,8,16,15,3
1906,27,3,8,27,29,3,4,20,9,6,4
45,3,25,15,18,25,16,19,11,29,7,4
1418,14,26,3,28,15,12,3,13,9,21,5
1964,7,13,5,21,9,8,10,14,7,6,3
603,1,18,27,30,5,5,21,9,18,29,7
1649,15,4,8,28,13,27,11,12,30,16,2
2588,13,23,10,6,3,5,1,25,15,19,2
4266,10,19,21,19,3,12,11,12,21,17,7
768,27,28,29,15,19,1,17,13,5,4,5
1200,6,23,15,21,9,23,19,8,6,7,4
1306,17,8,21,29,5,4,30,3,7,8,2
3748,25,9,24,13,25,14,5,7,17,28,5
3375,7,7,29,5,22,1,20,27,26,21,5
3302,17,8,29,4,27,29,7,2,25,30,4
2410,9,5,13,27,11,3,13,7,14,9,3
3832,17,10,1,6,20,16,3,4,27,8,3
3844,26,13,25,10,23,19,13,25,18,17,4
1399,19,7,14,6,11,22,5,27,27,15,3
1811,21,9,1,7,3,19,23,2,27,11,2
3513,27,9,10,14,3,17,1,29,13,3,4
1580,11,21,29,18,6,11,17,23,25,8,5
3315,1,11,6,19,10,12,25,23,17,13,4
339,15,1,10,8,25,25,16,24,3,15,6
1774,15,14,17,25,5,13,30,27,10,6,5
158,6,29,16,9,15,3,11,1,15,7,6
1969,10,9,5,7,4,1,3,11,25,23,5
4110,5,13,23,29,9,13,22,12,23,3,5
4137,1,21,14,27,2,20,3,13,18,7,7
2454,5,23,9,1,13,17,13,2,7,3,5
4668,8,6,17,1,23,10,14,19,17,9,5
4672,29,19,18,29,1,25,11,22,21,17,4
2021,27,23,7,27,4,11,1,17,21,6,8
4256,4,23,9,16,27,19,22,3,15,8,3
4667,13,27,18,17,3,27,17,17,13,11,5
1716,1,12,20,29,2,25,14,6,15,7,4
4,17,1,15,28,9,3,15,6,14,13,4
3724,11,26,9,16,7,21,7,7,11,29,2
3167,15,1,29,7,23,17,6,13,11,17,4
2336,18,6,13,13,1,28,6,15,15,11,5
2022,19,23,23,11,6,15,5,20,7,18,3
3621,7,15,10,10,25,15,29,17,19,18,4
4508,27,1,21,19,4,9,5,26,6,9,5
31,23,4,25,19,21,18,3,4,9,16,3
1445,15,25,12,13,18,19,29,1,8,3,3
1794,30,10,17,5,3,9,6,13,13,4,4
1502,26,19,16,3,24,25,11,1,27,8,2
4244,15,15,20,7,7,15,9,3,25,17,3
2399,5,1,21,7,27,19,24,2,17,21,7
1819,3,1,11,4,18,5,29,7,3,10,5
4050,5,15,14,4,10,29,29,13,10,3,5
3131,13,18,9,5,3,17,14,30,21,5,2
3623,7,1,4,5,17,29,6,21,22,10,3
4530,25,16,1,5,30,5,21,10,8,21,4
2506,23,18,2,5,27,16,27,29,5,16,4
4246,9,3,8,17,5,11,13,19,8,1,5
2652,5,15,11,10,23,30,9,9,25,26,6
2370,6,17,3,16,1,8,8,23,21,5,3
4108,21,6,5,29,6,8,16,1,15,13,5
3106,12,25,20,15,1,11,6,13,19,11,4
2562,27,1,29,9,23,19,7,21,5,5,4
2320,8,5,15,21,22,11,29,6,11,7,3
2770,10,11,9,6,21,7,5,17,8,19,4
1071,29,21,27,23,9,8,14,24,27,25,4
4905,12,18,21,13,9,9,7,14,5,25,2
4031,1,12,12,9,17,5,5,4,5,27,4
3246,27,25,17,6,30,28,16,17,20,9,4
4614,1,26,9,13,13,10,3,7,14,19,4
1471,16,1,13,25,30,5,12,17,21,5,4
4007,1,25,4,27,11,19,3,13,20,24,4
1884,30,23,10,17,3,3,18,14,8,19,3
628,1,8,26,5,17,30,9,13,18,9,6
4534,14,27,23,13,9,27,8,1,12,9,3
246,16,8,10,14,18,9,27,4,15,13,6
1998,19,4,15,17,26,13,23,6,27,11,3
3618,15,13,13,24,1,11,11,27,29,9,2
3779,7,27,1,29,6,17,5,21,3,27,4
168,7,23,6,27,21,26,9,21,3,11,4
2472,13,27,13,13,29,1,7,22,19,25,6
4708,6,21,18,25,29,4,15,25,10,1,7
2956,9,6,25,19,8,29,25,17,12,13,6
4497,18,17,5,11,19,20,15,8,8,15,4
4479,9,8,14,29,9,21,9,4,5,17,3
1729,15,3,14,23,5,30,15,3,10,11,3
695,4,21,20,6,25,18,17,11,27,3,4
2709,21,1,10,3,4,13,16,18,9,25,4
4816,9,21,15,24,3,1,11,4,21,14,4
1508,1,27,16,4,3,13,12,7,5,6,4
1574,19,4,6,16,9,4,19,23,16,3,3
4906,27,11,17,9,3,13,29,2,10,10,6
1771,15,26,19,5,7,10,9,1,5,6,5
1010,15,7,15,29,6,9,10,13,30,6,4
2671,11,14,6,15,27,15,16,10,13,7,5
3096,24,9,23,7,11,4,8,3,1,30,7
2459,27,7,27,15,10,8,27,18,8,13,5
1915,19,13,11,6,29,13,8,19,9,8,6
947,10,25,29,27,23,9,5,13,1,15,6
1465,27,30,5,6,1,19,3,5,25,20,2
1615,27,16,17,30,26,11,1,9,15,7,7
408,8,3,25,7,16,5,23,11,13,17,4
2792,9,19,29,13,22,25,21,6,13,3,5
2355,19,13,5,23,18,1,9,16,10,16,4
996,18,6,12,11,17,12,17,13,8,3,5
2884,7,1,19,23,21,4,9,28,16,14,4
294,15,1,3,7,21,13,9,5,15,9,7
84,4,6,23,13,14,4,9,5,25,1,6
689,21,21,27,12,1,27,14,5,5,13,6
3308,8,14,23,20,7,4,21,26,17,29,5
1446,4,11,25,5,27,15,9,1,9,3,3
1715,7,23,2,10,15,15,13,19,21,10,6
4030,17,19,7,29,17,8,4,11,15,20,6
271,23,3,18,1,15,16,18,17,18,7,6
4982,15,14,29,15,13,11,28,25,7,26,6
2514,1,19,6,23,6,4,15,4,3,5,7
1492,1,14,27,14,29,6,12,23,12,11,4
647,18,6,22,9,29,27,3,7,16,8,5
3613,25,27,24,21,27,19,23,9,5,17,2
758,8,7,13,1,15,7,19,11,9,4,7
704,19,1,5,7,15,15,25,24,16,17,4
1965,11,8,1,18,10,29,11,23,7,17,2
2047,29,5,30,4,3,19,13,1,15,27,4
2943,21,29,25,13,6,26,8,17,8,11,4
2535,27,12,9,1,6,11,21,9,15,17,4
1318,13,10,11,25,7,28,8,23,19,1,2
3193,17,5,11,28,7,1,18,14,13,19,3
3944,1,9,15,23,11,22,21,5,11,22,3
169,21,7,17,3,26,5,23,23,3,19,5
4635,7,29,21,11,23,15,15,14,15,7,3
2303,25,9,1,19,7,3,8,6,17,5,4
3698,17,21,11,8,11,20,4,29,29,15,4
4243,19,13,24,29,9,27,1,4,4,9,5
461,10,3,28,8,13,7,5,12,7,15,2
2243,5,29,7,17,19,29,9,1,7,13,4
1169,1,9,15,11,13,3,25,4,5,21,4
1256,1,5,23,24,11,3,13,16,7,3,4
3885,4,7,8,15,27,22,10,21,23,14,5
79,1,12,25,19,12,3,15,14,15,8,7
2779,1,7,6,9,19,3,14,19,6,14,7
911,5,7,11,17,13,1,29,9,2,19,5
1434,6,8,19,30,19,16,3,24,17,5,3
4098,3,25,7,27,11,25,5,20,9,20,3
3350,12,24,5,15,11,10,17,13,6,1,3
1233,15,22,27,1,21,29,26,11,27,4,2
4349,17,18,24,8,7,15,18,7,7,14,3
4368,21,1,19,21,8,18,9,30,25,8,7
4399,3,21,19,4,21,9,14,3,27,17,4
1516,3,25,1,17,11,16,25,12,3,5,4
487,9,8,22,20,18,11,15,23,13,4,3
1483,26,13,8,22,13,30,5,1,6,19,2
4166,24,25,13,8,16,1,15,9,7,21,2
4136,11,16,4,14,19,6,26,4,15,10,2
3322,19,15,24,5,9,1,25,23,19,26,5
4170,6,25,18,17,29,9,18,7,9,3,5
3537,29,23,9,8,27,11,21,14,7,1,7
4666,19,4,9,28,3,13,12,1,17,21,2
3069,3,5,25,13,17,4,15,1,29,10,3
4576,23,5,21,4,1,19,14,25,16,24,2
1048,7,22,23,12,7,2,9,14,5,10,3
